player_id,firstName,lastName,nationality,primaryPosition,height_cm,weight,shootsCatches
8466148,Marian,Hossa,1.0,RW,185.42,207.0,1.0
8465058,Michal,Rozsival,2.0,D,185.42,210.0,2.0
8476906,Shayne,Gostisbehere,3.0,D,180.34,180.0,1.0
8466285,Brian,Campbell,4.0,D,177.8,192.0,1.0
8470607,Brent,Seabrook,4.0,D,190.5,220.0,2.0
8474668,Dale,Weise,4.0,RW,187.96,206.0,2.0
8473512,Claude,Giroux,4.0,C,180.34,185.0,2.0
8470645,Corey,Crawford,4.0,G,187.96,216.0,1.0
8476994,Vinnie,Hinostroza,3.0,LW,175.26,173.0,2.0
8475323,Marcus,Kruger,5.0,C,182.88,186.0,1.0
8473584,Andrew,MacDonald,4.0,D,185.42,204.0,1.0
8478055,Gustav,Forsling,5.0,D,182.88,186.0,1.0
8478550,Artemi,Panarin,6.0,LW,180.34,168.0,2.0
8476177,Matt,Read,4.0,RW,177.8,185.0,2.0
8473461,Steve,Mason,4.0,G,193.04,210.0,2.0
8475462,Radko,Gudas,2.0,D,182.88,204.0,2.0
8476393,Nick,Cousins,4.0,C,180.34,185.0,1.0
8479482,Michal,Kempny,2.0,D,182.88,194.0,1.0
8469547,Jordin,Tootoo,4.0,RW,175.26,195.0,2.0
8474190,Wayne,Simmonds,4.0,RW,187.96,185.0,2.0
8468513,Nick,Schultz,4.0,D,185.42,203.0,1.0
8473607,Michal,Neuvirth,2.0,G,185.42,209.0,1.0
8471769,Niklas,Hjalmarsson,5.0,D,190.5,197.0,1.0
8477929,Dennis,Rasmussen,5.0,C,190.5,192.0,1.0
8471762,Chris,VandeVelde,3.0,C,187.96,190.0,1.0
8475209,Richard,Panik,1.0,RW,185.42,208.0,1.0
8473604,Jonathan,Toews,4.0,C,187.96,201.0,1.0
8478439,Travis,Konecny,4.0,C,177.8,175.0,2.0
8479648,Roman,Lyubimov,6.0,LW,187.96,207.0,2.0
8470159,Boyd,Gordon,4.0,C,182.88,200.0,2.0
8477845,Trevor,van Riemsdyk,3.0,D,187.96,188.0,2.0
8478500,Ivan,Provorov,6.0,D,185.42,201.0,1.0
8475430,Brandon,Manning,4.0,D,185.42,205.0,1.0
8470281,Duncan,Keith,4.0,D,185.42,192.0,1.0
8474141,Patrick,Kane,3.0,RW,180.34,177.0,1.0
8477930,Pierre-Edouard,Bellemare,7.0,LW,182.88,198.0,1.0
8474161,Jakub,Voracek,2.0,RW,187.96,214.0,1.0
8477951,Nick,Schmaltz,3.0,C,182.88,177.0,2.0
8477451,Ryan,Hartman,3.0,RW,182.88,181.0,2.0
8476461,Sean,Couturier,4.0,C,190.5,211.0,1.0
8473573,Artem,Anisimov,6.0,C,193.04,198.0,1.0
8477353,Tyler,Motte,3.0,C,177.8,191.0,1.0
8475170,Brayden,Schenn,4.0,C,185.42,200.0,1.0
8468309,Mark,Streit,8.0,D,180.34,186.0,1.0
8477290,Michael,Raffl,9.0,LW,182.88,200.0,1.0
8476806,J.T.,Brown,3.0,RW,177.8,169.0,2.0
8471678,Benoit,Pouliot,4.0,LW,190.5,200.0,1.0
8475215,Robin,Lehner,5.0,G,193.04,245.0,1.0
8476866,Nicolas,Kerdiles,3.0,LW,187.96,200.0,1.0
8471699,Andrew,Cogliano,4.0,LW,177.8,177.0,1.0
8470621,Corey,Perry,4.0,RW,190.5,213.0,2.0
8477933,Sam,Reinhart,4.0,C,185.42,192.0,2.0
8470324,Josh,Gorges,4.0,D,185.42,204.0,1.0
8477941,Nick,Ritchie,4.0,LW,187.96,234.0,1.0
8476312,Josh,Manson,4.0,D,190.5,213.0,2.0
8475169,Evander,Kane,4.0,LW,187.96,212.0,1.0
8479268,Casey,Nelson,3.0,D,185.42,185.0,2.0
8475185,Jacob,Josefson,5.0,C,182.88,196.0,1.0
8475780,Chris,Wagner,3.0,RW,182.88,198.0,2.0
8475164,Jakob,Silfverberg,5.0,RW,187.96,202.0,2.0
8473560,Korbinian,Holzer,10.0,D,190.5,214.0,2.0
8478131,Ondrej,Kase,2.0,RW,182.88,185.0,2.0
8476293,Scott,Wilson,4.0,C,180.34,183.0,1.0
8476470,Nathan,Beaulieu,4.0,D,187.96,200.0,1.0
8470616,Ryan,Kesler,3.0,C,187.96,202.0,2.0
8468535,Antoine,Vermette,4.0,C,185.42,197.0,1.0
8469506,Jason,Pominville,3.0,RW,182.88,180.0,2.0
8467400,Francois,Beauchemin,4.0,D,180.34,208.0,1.0
8475728,Johan,Larsson,5.0,C,180.34,198.0,1.0
8474618,Marco,Scandella,4.0,D,190.5,208.0,1.0
8468011,Ryan,Miller,3.0,G,190.5,173.0,1.0
8475764,Cam,Fowler,3.0,D,185.42,215.0,1.0
8470612,Ryan,Getzlaf,4.0,C,193.04,223.0,2.0
8477986,Brandon,Montour,4.0,D,182.88,192.0,2.0
8476854,Hampus,Lindholm,5.0,D,190.5,208.0,1.0
8475325,Jordan,Nolan,4.0,C,190.5,219.0,1.0
8476931,Jake,McCabe,3.0,D,185.42,210.0,1.0
8473449,Kyle,Okposo,3.0,RW,182.88,220.0,2.0
8476878,Zemgus,Girgensons,11.0,C,187.96,207.0,1.0
8477499,Rasmus,Ristolainen,12.0,D,193.04,218.0,2.0
8479755,Victor,Antipin,6.0,D,180.34,175.0,1.0
8474683,Derek,Grant,4.0,C,190.5,215.0,1.0
8478403,Jack,Eichel,3.0,C,187.96,206.0,2.0
8474641,Adam,Henrique,4.0,C,182.88,195.0,1.0
8475158,Ryan,O'Reilly,4.0,C,185.42,216.0,1.0
8473992,Justin,Falk,4.0,D,195.58,223.0,1.0
8476483,Rickard,Rakell,5.0,C,187.96,198.0,2.0
8478542,Evan,Rodrigues,4.0,LW,180.34,182.0,2.0
8469598,Kevin,Bieksa,4.0,D,185.42,197.0,2.0
8473618,Mathieu,Perreault,4.0,C,177.8,188.0,1.0
8471218,Blake,Wheeler,3.0,RW,195.58,225.0,2.0
8470828,Toby,Enstrom,5.0,D,177.8,180.0,1.0
8462042,Jarome,Iginla,4.0,RW,185.42,210.0,2.0
8473412,Bryan,Little,4.0,C,182.88,191.0,2.0
8475759,Brandon,Gormley,4.0,D,187.96,196.0,1.0
8473575,Semyon,Varlamov,6.0,G,187.96,209.0,1.0
8471657,Cody,McLeod,4.0,LW,187.96,210.0,1.0
8471217,Andrew,Ladd,4.0,LW,190.5,200.0,1.0
8476469,Joel,Armia,12.0,RW,190.5,205.0,2.0
8474207,Nick,Holden,4.0,D,193.04,214.0,1.0
8474743,Zach,Redmond,3.0,D,187.96,212.0,2.0
8476888,Mikhail,Grigorenko,6.0,C,190.5,209.0,1.0
8471260,Blake,Comeau,4.0,LW,185.42,202.0,2.0
8475168,Matt,Duchene,4.0,C,180.34,195.0,1.0
8476455,Gabriel,Landeskog,5.0,LW,185.42,215.0,1.0
8474574,Tyler,Myers,4.0,D,203.2,229.0,2.0
8474074,Paul,Postma,4.0,D,190.5,195.0,2.0
8477940,Nikolaj,Ehlers,13.0,LW,182.88,172.0,1.0
8471681,Jack,Skille,3.0,RW,185.42,216.0,2.0
8471385,Adam,Pardy,4.0,D,193.04,227.0,1.0
8471262,Carl,Soderberg,5.0,C,190.5,210.0,1.0
8476392,Adam,Lowry,3.0,C,195.58,210.0,1.0
8469501,Chris,Thorburn,4.0,RW,190.5,235.0,2.0
8470317,Nate,Guenin,3.0,D,190.5,207.0,2.0
8470614,Mark,Stuart,3.0,D,187.96,215.0,1.0
8470834,Dustin,Byfuglien,3.0,D,195.58,260.0,2.0
8473446,Erik,Johnson,3.0,D,193.04,225.0,2.0
8470750,John,Mitchell,4.0,C,185.42,204.0,1.0
8477902,Dennis,Everberg,5.0,RW,193.04,205.0,1.0
8477429,Andrew,Copp,3.0,C,185.42,206.0,1.0
8474636,Michael,Hutchinson,4.0,G,190.5,202.0,2.0
8475788,Alexander,Burmistrov,6.0,C,185.42,180.0,1.0
